,T1R1,T1R2,T2R1,T2R2,T3R1,T4R1,T4R2,T5R1,T5R2,T6R1,T6R2,T7R1,T7R2,T8R1,T8R2,T9R1,T9R2,T10R1,T10R2,T11R1,T11R2
AT1G63650,2.497510901,2.221552925,2.418225043,2.326714438,0.101048411,-0.671417379,1.051853995,2.784739455,2.756970902,2.911120251,2.836640394,0.866957295,1.193359615,0.803706895,0.933502395,2.666396267,2.539088366,1.765800481,0.777098187,2.61042027,2.507810715
AT1G64380,1.930035827,1.515284128,0.326302553,1.45472205,-1.773420707,-2.25637988,-2.118071006,-0.061347861,-0.154972921,0.469521925,0.483851335,0.691870588,0.8189641,-0.781255606,-0.130627942,1.334076566,0.89139011,0.884444977,1.514063781,1.566918631,1.429808203
AT1G64530,4.691987508,4.732631478,4.038376972,4.285222309,4.042496228,4.25141476,4.185709742,3.347234616,3.064705115,4.145764933,4.411389082,2.976079017,3.283245119,3.245023719,3.391031976,4.818571921,4.659280278,3.54740999,3.881434847,3.171377308,3.157123627
AT1G64620,2.631811993,2.348744941,2.521318536,2.385013078,-0.551028286,-0.671417379,-0.533108505,1.955725652,1.429989579,1.48888725,1.717341466,-0.014398209,0.587638554,1.951460515,2.356359399,1.829401855,1.774576445,0.606143815,0.040132593,1.882946125,1.067238123
AT1G65620,2.030729827,2.336518639,2.948739759,2.169745091,2.57235413,2.135937543,2.636816496,1.921374147,2.197012407,2.660947996,2.851826798,2.112713709,2.041356522,2.582492665,2.638759129,2.077978208,2.086037541,1.590713774,0.777098187,1.785098801,1.868692444
AT1G65910,-0.052686181,-0.048145211,0.601936996,0.370657785,-1.773420707,-2.25637988,-2.118071006,0.404315711,0.351987067,1.5268551,0.22859428,-1.4549708,-2.350960901,-0.113830945,0.251242693,0.088320152,0.353733324,-1.248005319,-1.544829908,-1.240436291,-0.892119892
AT1G66140,3.4798089,3.622393021,2.554108471,3.226647483,-0.188458206,-2.25637988,-2.118071006,3.968399482,3.914512179,4.515097129,4.580459659,0.1299917,0.312004112,3.383946985,3.569811776,4.228163814,4.010561811,0.666264807,0.957670433,1.444061884,1.364219861
AT1G66230,1.485733734,2.067332006,1.632963891,2.760224597,0.34205651,0.065548215,1.051853995,1.274255171,0.551295876,1.282436373,1.251677893,-0.174862881,0.707932788,-0.476401025,0.034431304,0.981404948,0.443931133,0.261008329,0.040132593,0.475770743,-0.361605176
AT1G66350,2.989624624,3.257663218,1.287828405,2.066651598,-1.773420707,0.550975042,-0.533108505,1.736159275,1.825918256,1.48888725,0.828986821,1.023076497,1.791997053,1.471131556,1.645156901,1.466831775,1.739387017,1.527288394,1.262525014,0.906405098,1.55266495
AT1G66390,-4.445003604,-5.539998307,-3.92162496,-2.688235904,-3.358383208,-2.25637988,-2.118071006,1.428977765,2.442589616,1.7678632,0.483851335,-1.4549708,-2.350960901,0.685870404,0.755715276,-3.456000364,-0.208145563,-2.626516942,-3.129792409,-2.462828712,0.18588262
AT1G66810,0.764449762,1.029857301,0.936356035,0.856084613,-0.188458206,1.444059838,-0.533108505,0.190190906,0.120661521,0.389351577,0.889107814,0.381530467,-0.235483684,-0.781255606,-0.531165872,0.168490501,0.528820031,0.095949082,-0.322437487,-0.347351495,0.581811296
AT1G67310,4.352657922,4.478201871,5.081190055,4.981830165,4.865618466,4.943292465,5.176549743,4.75822301,4.74430449,4.584249106,4.715267137,4.427672249,4.278395719,3.928943079,3.96196905,4.780811117,4.714686576,4.634637731,4.644994651,4.322896194,4.433810133
AT1G67710,1.046849492,1.089358313,-0.221185242,0.856084613,0.101048411,-0.671417379,0.689283916,-0.205737771,-0.943468816,0.469521925,-0.333284607,-1.4549708,-0.235483684,0.557546307,0.657867952,0.513625987,-1.430537985,-0.700517523,-0.322437487,0.200136301,0.330272529
AT1G67970,-1.275078603,-0.495604188,-1.599696865,0.680997906,-0.551028286,-2.25637988,-2.118071006,4.549149732,4.55999557,3.298987549,3.388140136,3.345004591,3.075303854,3.439620583,3.51497591,3.285466622,3.324349517,2.964444299,3.06003215,1.882946125,1.960322919
AT1G68120,0.599390515,0.726788233,0.722231229,0.856084613,1.927019011,1.991547633,1.969391835,0.069896672,-0.943468816,0.21426487,0.700662724,-0.561886004,0.456394021,-0.620790934,-0.317041067,-0.286075363,0.154424516,-0.700517523,-0.322437487,0.039671629,0.330272529
AT1G68130,4.128643583,4.303922744,3.29754356,3.819558737,2.256326636,2.267182076,3.09138236,3.385538504,3.545466797,3.577481173,3.998911823,2.505858602,3.119359034,3.102825107,3.151407425,3.532684323,3.804678477,2.813106196,2.703097605,2.638709314,2.477113917
AT1G68150,-0.538113008,-0.182446303,0.165837881,-0.813766786,0.34205651,-2.25637988,0.689283916,-2.868702783,-4.402900435,-1.280499822,-1.555677029,0.49256178,1.018272909,-4.868718447,-2.853093967,-0.397106675,-1.141031368,0.982292301,-0.322437487,-0.347351495,-0.892119892
AT1G68520,7.989363998,8.164229576,6.569225916,7.233109177,6.874037719,6.278895496,6.261307361,6.219643792,6.146884233,5.634021215,5.928138748,4.76281384,4.979955977,6.172256151,6.449316484,5.282091895,5.605330263,5.197487109,5.317290818,4.440048821,4.82365148
AT1G68640,1.577364209,1.599553045,0.936356035,1.609444645,1.285472982,1.203051738,1.969391835,2.314519041,1.663188756,1.669459496,1.34048716,1.095226282,1.018272909,-0.345156491,-0.130627942,0.631462477,0.89139011,1.028834887,0.32963921,2.29205879,2.347346042
AT1G68670,5.130535643,5.303137604,5.125498952,5.496639439,4.109222342,4.219353551,3.714819008,4.520749306,4.676584349,4.909324737,4.973102637,3.980848261,3.952819847,4.625137002,4.516721457,5.181832038,4.997589514,4.048734444,3.925490027,3.753108687,4.343096569
AT1G68810,3.394200184,3.170808126,3.670832077,3.28904402,3.409801117,1.203051738,1.78881959,3.211670633,3.01495208,3.208435791,3.459273313,2.937346622,2.633932207,2.514985845,2.67672698,3.414364355,3.393890451,3.304220396,2.800944929,3.659567919,3.437800993
AT1G68840,5.012377275,5.307842048,4.38671407,6.704796964,1.851070158,2.38747631,2.739909989,2.765503236,2.585784252,3.863694905,4.282826592,4.184757504,3.864976498,3.374455536,3.263769791,1.434770566,2.141004,3.490346816,3.611674578,2.552121629,2.949182362
AT1G68880,-0.052686181,-0.113733553,-1.114270038,-1.465843482,-1.036455113,-2.25637988,-0.533108505,-0.994233665,-2.08097234,0.118049555,-0.333284607,0.1299917,-0.235483684,2.72373859,3.114996785,-1.340523147,-0.693572391,-0.860982196,-3.129792409,-2.462828712,-0.155154298
AT1G68920,4.195241332,4.162174378,3.979241848,4.388579693,4.07624502,3.576510134,3.714819008,4.042189743,3.710841731,4.018291774,4.243064763,1.966492968,2.571871238,4.567993095,4.470636371,3.801387478,3.854864234,2.852454863,2.936296782,2.894723293,2.679422093
AT1G69010,4.173381898,4.031754336,4.311994716,4.123406377,3.051007728,3.169884875,2.739909989,3.680761036,3.533737504,3.613215385,3.545860998,4.884879203,4.868207619,3.439620583,3.472436365,3.750200024,3.661631859,4.611887797,4.370053478,4.525855975,4.393282327
AT1G69170,2.543681083,2.684003367,2.648230648,2.945970116,1.999168797,2.498507622,2.636816496,2.340750582,1.619467378,2.358100643,2.790097808,0.595655273,0.456394021,1.789493035,1.332772578,2.895675074,2.748265168,0.884444977,1.514063781,1.566918631,0.581811296
AT1G69310,2.989624624,2.634927375,2.617533851,2.984189438,0.548507388,0.913545121,0.203857089,3.046180603,3.112799403,3.208435791,3.653776337,2.180617773,2.403926601,3.4213004,3.673600879,2.835554082,3.238740802,2.149587046,2.362060688,2.060733244,2.537867949
AT1G69490,-2.860041103,-2.080566689,-0.751699959,1.15306635,1.165178748,1.991547633,2.836125304,-2.131737189,-2.08097234,-3.15496894,-2.403673935,-1.4549708,-1.613995307,-2.061363525,-1.715590443,-1.134072269,-0.900023268,1.590713774,1.514063781,0.039671629,0.18588262
AT1G69570,3.054842283,2.777414306,2.228122159,2.984189438,-0.551028286,1.444059838,1.051853995,-0.205737771,0.240955755,0.617620564,0.559800189,0.595655273,-0.476491783,-0.620790934,-1.268131466,0.791927149,0.757089018,-0.556127614,0.570647309,-0.877866211,-0.155154298
AT1G69580,3.006207508,3.041202275,2.819842026,2.597166315,2.474506806,3.416045462,3.167331213,2.665275789,2.283600092,3.086617047,2.042582295,2.112713709,2.805543585,2.186563988,2.476029629,2.680136324,2.579446104,2.364437918,2.079660957,2.361599723,2.679422093
AT1G69600,-0.197076091,-1.016436351,-0.751699959,-0.366307809,-3.358383208,-0.671417379,-2.118071006,-0.205737771,-1.232975433,-0.652468599,-0.477674517,0.49256178,0.312004112,-2.061363525,-0.317041067,0.003431254,-0.352535473,-0.700517523,0.040132593,0.707096289,-0.155154298
AT1G69690,4.128643583,3.87996187,4.863009885,4.575424536,4.846187936,3.720900043,4.110747684,4.646997055,4.649667616,4.94481718,4.901931854,3.458773466,3.321464441,4.082566268,4.330789492,4.534576382,4.865103419,3.011556895,2.703097605,3.529637615,3.484849566
AT1G69780,4.359127417,4.362376807,4.015012979,4.131943059,0.729079633,1.831082961,1.341360613,3.062034554,2.980803858,4.011612619,3.770252997,1.023076497,0.707932788,3.948265176,4.041723796,3.329724542,3.174324073,0.884444977,1.118135105,1.785098801,1.868692444
AT1G69810,0.599390515,0.482369506,-1.114270038,-0.025270891,-1.036455113,-0.671417379,0.203857089,-2.868702783,-1.595545513,0.21426487,0.946823312,1.292263129,2.086444411,-0.010737452,-0.42013456,0.936317059,0.257518009,1.494498459,0.32963921,-0.347351495,-2.477082393
AT1G70000,1.821782937,2.604659935,3.917578828,3.93137274,3.652844048,3.169884875,3.09138236,2.89506287,3.248151256,4.044703405,4.059032815,3.103996492,3.223947935,3.749667055,3.746818875,3.555226891,3.42744301,2.813106196,3.019954711,1.834851837,2.652200624
AT1G70510,0.309883898,0.39073903,0.165837881,0.584782591,0.101048411,0.550975042,-0.533108505,0.069896672,-0.943468816,0.304462679,0.483851335,0.381530467,1.273529964,-0.620790934,-0.782704639,-0.517400909,-0.513000145,0.336957182,0.040132593,2.101955907,1.71931482
AT1G71030,0.198852586,0.39073903,0.833262542,1.876548715,-0.188458206,0.550975042,0.689283916,3.617797079,3.877870335,4.552390192,4.772249807,5.710654064,5.231494744,1.701137161,2.024650283,5.457886342,5.087787323,6.154186852,6.3560369,4.548398543,4.317333473
AT1G71130,2.520780681,2.898793545,3.044159324,2.845742668,3.436032659,3.576510134,3.436517846,3.447201524,3.080915342,3.577481173,3.536492815,4.515751407,4.208734841,3.602956767,3.521945464,3.555226891,3.438456003,3.816426554,3.903630593,3.912210719,4.18112909
AT1G71200,0.912548401,0.935735124,0.833262542,0.584782591,0.729079633,0.065548215,1.051853995,0.190190906,0.45508056,-0.216369484,-0.477674517,-0.802894104,-0.235483684,-2.061363525,-1.268131466,-1.871037864,-0.900023268,-1.778520035,-0.807864314,-1.725863118,-2.477082393
AT1G71260,5.00826703,4.638666544,4.882506061,5.073315329,5.853505087,5.259319958,5.532980685,4.571474278,4.671241028,4.381602077,4.219841806,4.629457981,4.675101396,5.030638476,5.018503299,4.742035344,4.556883949,5.326515435,5.178546621,5.512541622,5.419754538
AT1G71520,-4.445003604,-3.955035807,-3.92162496,-4.273198404,-3.358383208,-2.25637988,-2.118071006,-2.868702783,-2.08097234,-4.73993144,-4.72560203,-4.262325722,-3.935923402,-0.476401025,-0.130627942,-5.040962865,-4.600462986,-3.363482536,-1.544829908,-4.047791213,-0.602613275
AT1G71692,-0.744563886,-0.254596089,-0.462193342,-0.813766786,0.34205651,0.550975042,0.203857089,-0.366202443,-0.315437594,0.304462679,-0.202040074,0.1299917,1.555929695,-0.476401025,-0.782704639,0.003431254,0.353733324,1.117644154,1.625095093,2.101955907,2.204741647
AT1G72010,4.500440232,4.559349503,4.192117206,4.345187098,2.422976506,1.203051738,1.78881959,4.652243225,4.671241028,4.902120253,4.788125566,2.748901533,2.292895289,4.242417223,4.184727499,4.84625775,4.802549037,2.567254801,2.484917435,3.05024087,2.83277287
AT1G72050,4.771742254,4.595710979,4.35914581,4.123406377,4.092827904,4.903491457,4.481841836,4.824784174,5.004367329,4.667336324,4.86498502,2.976079017,3.358697347,4.668499953,4.721310342,4.764781007,4.546741939,3.465182892,3.210057594,3.803957829,3.617435206
AT1G72210,0.840398615,0.799851695,1.363777259,1.218654692,-1.036455113,-2.25637988,-0.533108505,1.775153406,1.936949568,1.599918563,1.78219261,1.620317327,1.349478817,1.197370743,1.454334558,1.108784255,1.465626204,1.073922776,-0.322437487,1.161662153,2.004044297
AT1G72360,0.412977391,0.482369506,1.207658057,0.584782591,0.34205651,-0.671417379,-0.533108505,-0.546774688,0.240955755,0.469521925,0.559800189,2.276833089,2.403926601,2.906068612,3.068151922,0.38530189,1.127457468,1.494498459,0.957670433,1.309760792,1.364219861
AT1G72650,4.26580283,4.600831463,4.869537928,4.779369646,4.468165279,4.538035986,4.752293713,4.009859089,3.914512179,4.157914016,4.160094343,4.168126829,4.14622564,4.064972208,3.78207998,4.101144192,3.92701402,4.141667383,4.236529806,4.065950953,4.152274227
AT1G72740,3.908143221,4.158706359,4.38671407,4.308002178,5.072069344,4.943292465,5.041800331,3.529328291,3.700387374,3.639446927,4.135484876,3.980848261,4.18819791,4.318633626,4.167052606,3.944879072,3.633156691,4.208901898,4.069879936,3.991127777,3.86276761
AT1G72830,1.663520853,1.448686379,0.936356035,0.771195715,1.285472982,1.444059838,2.274246417,2.644366799,2.673915162,2.608796714,2.45430706,0.866957295,0.587638554,3.114275127,3.009853281,1.645537662,2.167721339,0.723980305,0.777098187,1.444061884,0.025417948
AT1G73360,1.485733734,1.790918571,1.961018089,2.030582344,1.595813103,1.203051738,1.78881959,2.260580234,1.863886106,2.105558611,2.169215733,1.714954201,1.678786442,0.623134649,-0.317041067,2.253657884,2.497569097,1.590713774,2.15560981,2.060733244,1.364219861
AT1G73730,3.689422716,3.743090046,3.670832077,3.603318542,2.94539754,3.101172124,2.129856507,3.74109157,3.941395473,3.848783195,3.809673346,2.897545614,3.162108681,3.800166537,3.764557153,4.090894096,4.017922516,2.839457522,2.847487515,2.638709314,3.035987189
AT1G73830,2.124852004,2.47680998,1.961018089,2.845742668,2.524259842,3.169884875,2.525785184,1.850115464,1.663188756,1.041428273,0.559800189,2.792956713,2.292895289,1.789493035,1.267921434,0.68695759,1.282180063,1.994069468,2.227759596,2.77238775,2.926639793
AT1G73870,1.227421738,2.420003625,6.941786999,6.731724274,5.575307447,4.485087106,5.021480346,1.327694429,1.574379489,3.034855619,3.257391544,1.023076497,1.193359615,-0.620790934,-2.36766714,4.064945644,3.887377048,2.346175712,2.598128046,1.624634129,1.147408472
AT1G74250,4.717387725,4.621133576,3.839926272,4.345187098,2.133469888,2.872903137,2.129856507,4.554763338,4.884811945,4.481655681,4.890946814,-0.355435127,-0.029032806,5.500878899,5.655493145,4.370548123,4.551821856,0.606143815,1.118135105,0.707096289,1.610380448
AT1G74430,1.33635611,1.578942765,1.693084884,2.202535027,0.34205651,1.203051738,1.051853995,3.307885948,3.397999465,3.099272348,3.113601758,3.538574178,3.757563556,2.63112744,2.938720104,3.249055982,3.238740802,3.43093333,3.528419074,3.33591308,3.405560656
AT1G74500,-2.860041103,-1.016436351,-0.462193342,-1.465843482,-3.358383208,0.065548215,-0.533108505,-2.131737189,-2.08097234,0.014956062,0.029285472,-0.355435127,0.8189641,-3.283755947,-5.175022062,0.088320152,-2.278534891,-0.090464042,-0.322437487,-0.347351495,0.025417948
AT1G74650,0.684279413,0.763782441,0.326302553,0.936254961,-0.188458206,0.065548215,1.582368712,1.775153406,1.32502002,0.389351577,0.700662724,0.381530467,-0.476491783,1.789493035,1.483189421,0.513625987,0.608990379,0.409106968,1.824403902,0.810189782,0.330272529
AT1G74660,0.412977391,0.292891707,1.03257135,1.15306635,1.396504294,0.913545121,-2.118071006,-1.283740283,-1.232975433,-0.216369484,-0.818711435,0.691870588,1.108470718,0.26056457,-0.651460106,-0.18298187,-0.513000145,-0.090464042,0.040132593,1.444061884,1.364219861
AT1G74840,5.149321,5.419279198,4.590127693,4.784793318,4.306952709,3.471540574,4.29131993,4.324411845,4.375176695,5.165455565,5.037610337,5.675783604,5.561928435,4.486632649,4.611247566,5.27078545,5.101709699,5.880484791,5.965604614,6.054184458,5.691171856
AT1G74930,-2.860041103,-0.182446303,-0.462193342,4.729616611,-1.773420707,-2.25637988,-2.118071006,1.736159275,1.429989579,-0.216369484,0.700662724,-1.092400721,-1.12856848,-3.283755947,-1.268131466,-1.340523147,-0.900023268,0.336957182,0.570647309,0.475770743,0.18588262
AT1G75080,4.244994367,4.288138177,4.302376714,4.352510439,5.393160851,5.109942334,5.316557222,3.372883203,3.397999465,3.47438768,3.770252997,4.193001498,4.218894707,4.205423015,4.423030438,3.397828988,3.623538688,4.0373969,3.968239674,4.012904719,4.030712247
AT1G75240,5.153048896,4.916356108,4.775342566,4.991244196,4.994763618,4.538035986,5.158053399,3.845542734,3.657795497,3.698860412,3.72972519,2.771097279,3.052761285,2.932181453,2.371872398,4.022432216,3.92701402,3.256126107,3.345941022,4.39100064,4.190620539
AT1G75340,4.230953429,4.275384988,4.21280136,4.330427941,4.755358958,4.563799082,4.800792231,4.01800993,4.222808408,3.950066531,4.321521882,2.703458562,2.722288081,3.961004288,4.06576927,3.649035106,3.761480788,3.068363251,3.789070829,2.77238775,2.903739391
AT1G75410,4.434579646,4.63117849,4.816467299,4.612497969,3.180775603,2.601601115,3.496638838,4.678191677,4.611120035,4.846908348,4.803828524,4.604953017,4.660266354,3.954648793,4.1401275,5.373722371,5.240314937,5.307763652,5.458922227,4.697042625,4.841836952
AT1G75520,1.046849492,1.280180655,0.936356035,1.34151144,-1.036455113,-0.671417379,-2.118071006,0.190190906,0.240955755,1.449893119,1.813556781,-1.4549708,-1.12856848,0.416683772,0.657867952,1.673282653,0.757089018,-2.626516942,-3.129792409,-0.140900617,0.581811296
AT1G75540,5.291398327,5.326507905,4.869537928,5.188281043,1.770899809,1.444059838,2.274246417,4.723754254,4.655091288,4.920064452,5.140131241,1.163939032,1.61866545,4.637093107,4.865267659,4.929143026,4.909312018,1.765800481,1.824403902,2.361599723,2.679422093
AT1G75710,3.443739645,3.806515426,4.181662848,4.123406377,4.786275035,5.365671939,4.958744591,4.94934674,4.837890897,4.486480752,4.510412162,5.693324185,5.46282029,3.493225326,3.328803676,4.87938999,4.815278782,5.828810278,5.838874385,5.722046631,5.479051722
AT1G76320,3.960137859,3.657218386,3.54598059,3.461511216,1.165178748,1.831082961,-0.533108505,3.711241643,3.385002125,3.648085845,3.636341743,1.620317327,1.678786442,3.4213004,3.40617852,3.620815233,3.594293868,1.819739288,2.227759596,1.309760792,2.166773797
AT1G76350,2.631811993,2.939781957,3.853162099,3.420288553,3.821525882,3.80970931,3.904296807,3.817797744,3.679248606,3.586498047,3.762238004,3.951993398,3.729412515,3.948265176,4.089420538,3.856882591,3.502824822,4.0373969,3.789070829,3.617544704,3.574579727
AT1G76420,0.840398615,0.342644742,-0.014734365,0.250363552,-1.773420707,0.550975042,-2.118071006,-0.205737771,-0.496009839,0.304462679,0.828986821,-0.355435127,-0.476491783,-0.010737452,-0.651460106,-0.397106675,0.154424516,-0.304588847,0.32963921,0.596064977,0.581811296
AT1G76580,3.968624325,3.738451151,3.409291918,3.850922907,3.536434555,4.186563616,3.609849448,5.727486973,5.645586439,5.026597468,5.054117325,3.299916702,3.263748943,5.966542471,6.085309457,4.043845523,4.424676576,3.057179512,3.019954711,3.132117877,3.097826443
AT1G76870,0.764449762,0.688820383,0.165837881,1.218654692,-1.773420707,-2.25637988,-2.118071006,1.038187812,0.806552931,-0.347614018,-0.08174584,-1.092400721,-0.7659984,-2.061363525,-0.927094548,0.003431254,0.684939233,-0.424883081,-0.807864314,-0.347351495,-0.361605176
AT1G76880,5.510646304,5.509169565,5.081190055,5.632188601,5.072069344,4.820435717,5.28280843,5.605679177,5.785688411,5.647008805,6.046712544,4.554657901,4.855239487,6.08765771,6.339198848,5.288833473,5.527531335,4.760638776,4.864561028,4.775576027,4.82973881
AT1G76890,5.646431782,5.758637099,3.799474228,4.648642533,0.889544306,1.444059838,1.969391835,4.03417475,4.076879829,4.268497182,4.63414753,2.041455026,1.896966612,5.820405958,6.169828622,4.090894096,4.203668035,2.364437918,2.598128046,1.237611006,2.046479563
AT1G77080,4.166021193,3.973729289,3.278047385,3.627668404,3.860785313,3.852144577,3.812666331,4.4562278,4.649667616,4.667336324,4.969626261,4.954420136,4.511159824,4.567993095,4.202188469,4.608293313,4.446660926,4.722211212,4.535543509,4.879986749,4.761322346
AT1G77200,-0.357540763,-0.585801997,-0.014734365,-0.366307809,0.729079633,0.913545121,-0.533108505,1.100923568,0.351987067,0.304462679,0.631949974,1.570564292,0.587638554,-2.546790352,-1.715590443,0.631462477,0.825801769,0.982292301,1.824403902,1.624634129,0.581811296
AT1G77450,4.901510129,5.019378783,3.335762882,3.941120716,3.536434555,4.430120647,3.714819008,3.711241643,3.731525885,3.39449488,3.150914916,5.794311993,5.492436771,4.45995648,4.499170206,3.502068955,3.460232946,5.639332479,5.358047625,5.512541622,5.750132412
AT1G77570,0.198852586,-0.113733553,1.03257135,0.680997906,2.133469888,2.498507622,1.341360613,0.500531026,0.726382582,0.304462679,-0.333284607,1.519033991,0.922057593,2.270832905,2.259606166,0.003431254,-0.352535473,0.095949082,0.040132593,1.785098801,1.71931482
AT1G77640,-2.123075509,-1.016436351,-1.599696865,0.250363552,-1.773420707,-2.25637988,-2.118071006,-4.453665284,-4.402900435,-3.15496894,-3.14063953,-2.677363222,-1.12856848,4.088383594,4.180329035,-5.040962865,-2.278534891,-1.778520035,-3.129792409,-4.047791213,-4.062044894
AT1G77850,2.734905486,2.795392047,2.487765976,2.597166315,2.067881547,2.267182076,2.926323113,3.563143004,3.923529052,3.073849751,3.302303966,1.927498837,2.253901157,3.734907898,3.507972522,3.249055982,3.502824822,2.2114263,2.079660957,2.181027478,2.241735855
AT1G77920,3.582902393,3.218224907,3.29754356,3.110505888,1.499597787,3.029022339,2.40549095,5.269142247,5.402843437,5.338219367,5.194750825,4.090821103,4.035620152,4.946664848,5.088247139,4.274186697,4.473678477,3.706190992,3.528419074,3.20959663,3.738855006
AT1G78080,6.720531537,7.239515872,7.814354079,7.610590399,6.319336434,6.796188171,7.093817288,6.273404274,6.451188745,6.6529226,6.995069757,8.923014331,8.997582848,7.36938769,7.475356574,6.6087424,6.613248812,9.599112274,9.804819919,9.466059727,9.430684574
AT1G78540,2.714867733,2.442995267,3.197316112,3.488352828,2.750141249,2.872903137,2.926323113,2.706206053,2.417278528,2.660947996,2.550522375,2.771097279,2.832260923,2.497603767,2.417434975,2.014319571,1.969392622,3.034548538,2.296472346,3.007491223,2.679422093
AT1G78600,1.821782937,1.53681729,3.6097565,3.226647483,7.172023129,7.584398043,7.399598382,5.739860076,5.526357974,4.839384497,4.748103719,6.748202384,6.578790652,4.751501378,4.614511583,5.524139213,5.202053379,6.459353813,6.505018641,6.567838424,6.470311032
AT1G78700,3.329783456,3.560664032,3.354499445,3.830089404,3.584131298,3.765987933,3.436517846,3.197386407,3.304458697,2.867398873,3.257391544,3.601860422,3.626319023,3.275939796,3.569811776,2.997956124,3.251286055,3.068363251,3.378002232,2.361599723,2.706139431
AT1G79180,-2.123075509,-2.732643385,-1.114270038,-2.688235904,-3.358383208,-2.25637988,-2.118071006,-0.205737771,-0.702460717,-0.833040845,-1.555677029,-1.4549708,-1.613995307,0.085477863,-0.045739045,-1.340523147,-0.352535473,-2.141090115,-0.807864314,-4.047791213,-2.477082393
AT1G79430,4.251963922,4.16563408,4.659575622,4.562851951,5.345520366,5.737973557,6.066804337,3.808429561,3.689856706,4.31263661,4.24881256,5.066349205,4.747071182,3.902771022,4.149158485,3.989704271,3.871212228,4.162690633,4.253911884,3.888846726,3.515383934
AT1G79700,3.220332313,3.308624633,0.722231229,0.936254961,-1.036455113,-2.25637988,-2.118071006,0.190190906,-0.154972921,-1.932576518,0.029285472,0.1299917,-1.12856848,-0.224862258,-0.651460106,0.573746979,0.257518009,1.028834887,0.570647309,0.34452621,0.892151417
AT1G79840,3.303189246,3.523396774,3.655803868,3.210617373,4.125432569,4.401831603,4.481841836,3.639091857,3.811418686,2.867398873,3.126147011,3.999769123,3.785175787,2.186563988,1.85840094,2.895675074,3.27605396,4.301853381,4.321418703,3.659567919,3.712742166
AT1G80010,4.209632425,4.284960433,4.243281966,4.106179963,3.487106843,3.524979833,3.554354336,4.394957656,4.178300147,4.096118915,4.305065106,4.712088867,4.543856862,4.348027411,4.330789492,4.344899536,4.407965636,4.492424131,4.658110151,3.686918408,4.020104148
AT1G80840,0.599390515,2.05245873,-0.751699959,5.964011556,-1.773420707,-2.25637988,0.203857089,0.190190906,1.02336432,0.686333314,1.813556781,3.902581204,3.976965935,4.11142113,3.882969661,-2.71903477,-0.513000145,3.943338666,3.812722097,2.427942218,1.295507111
AT2G01060,4.352657922,4.527436053,4.349838068,4.706941173,4.922387562,4.92352921,5.265633286,4.407421622,4.314775988,4.733774309,4.760227278,5.157634455,5.30009079,4.596847957,4.513228247,4.611882108,4.515880975,5.370097773,5.503202788,5.508714842,5.297704667
AT2G01430,-1.275078603,0.014590544,1.693084884,0.481689098,2.196205644,1.444059838,1.051853995,-1.283740283,-2.08097234,-1.570006439,-1.555677029,-0.561886004,-0.235483684,-2.061363525,-3.590059561,-2.233607943,-0.900023268,-1.248005319,-1.544829908,-0.140900617,-0.361605176
AT2G01570,5.755895001,5.832322647,5.91284609,6.072206842,6.036079487,6.207144493,5.964078035,5.484444042,5.302731952,5.456055858,5.306443697,5.921309659,5.716921571,4.668499953,4.594815782,6.132089593,5.622331917,6.167248915,6.062500406,6.15555679,5.717674461
AT2G01760,2.610278831,2.830689099,3.354499445,3.578550637,2.870435483,3.029022339,2.926323113,3.347234616,3.189556602,3.124254704,2.939733887,3.032295027,2.722288081,2.79661747,3.009853281,2.953390572,2.637941753,3.068363251,2.847487515,3.07114986,3.372583334
AT2G01930,4.512098438,4.4156516,3.6097565,3.675168827,2.981466795,2.953073485,3.09138236,3.721260398,3.657795497,3.963972133,4.129266353,2.85661535,3.243985688,3.76427675,3.698422051,3.961852151,3.594293868,3.0459084,3.210057594,3.386837015,2.993237542
AT2G01940,2.849617145,2.907084919,2.521318536,2.845742668,0.548507388,1.650510715,0.689283916,2.488849221,2.197012407,2.517456402,2.692250485,0.595655273,0.15153944,1.84552707,1.901793535,2.325359349,2.19395288,0.477819718,0.570647309,0.906405098,1.492543958
AT2G02060,1.858777144,1.558033776,2.34516158,1.399226938,3.084560288,3.358329964,3.09138236,1.989278212,2.040043061,2.759914447,2.240182254,1.927498837,2.130165789,1.471131556,1.539223456,1.97026439,1.969392622,1.897045014,1.514063781,2.666454305,2.347346042
AT2G02070,5.379955137,5.296841052,4.914425395,5.228638781,5.458600415,5.161472635,5.28280843,6.300387083,6.312203574,5.634021215,5.911928521,4.997417541,5.122068321,5.939441326,6.159809866,5.816240607,6.239528084,5.379107607,5.481232389,4.232979557,4.317333473
AT2G02080,4.650393419,4.820848777,4.395787653,4.337826393,2.256326636,3.416045462,3.167331213,5.003715595,4.943613298,4.982876091,4.969626261,4.296094991,4.802168858,4.60092337,4.55799326,4.725566044,4.827897187,4.479915136,4.401589052,4.663015221,4.457591359
AT2G02450,2.653028479,2.813148518,3.111798041,3.406281695,2.474506806,1.650510715,0.203857089,3.267433905,3.602724114,3.148811809,3.199210473,1.570564292,1.994813936,2.693523977,2.999903621,2.871926471,3.147729863,1.845970829,1.262525014,1.929488711,1.665875561
