,T1R1,T1R2,T2R1,T2R2,T3R1,T4R1,T4R2,T5R1,T5R2,T6R1,T6R2,T7R1,T7R2,T8R1,T8R2,T9R1,T9R2,T10R1,T10R2,T11R1,T11R2
AT1G06070,4.136196978,3.888361865,4.160524081,4.315516231,3.954499747,4.457865637,4.110747684,3.447201524,3.509988901,3.604364468,3.721481196,2.792956713,2.130165789,4.288628488,4.17591712,3.56266348,3.633156691,2.486183191,1.514063781,2.491367598,2.903739391
AT1G06160,-1.637648682,-0.896142118,-0.751699959,0.584782591,-1.036455113,1.203051738,0.689283916,-0.753225566,0.120661521,-1.570006439,-2.403673935,-0.174862881,1.018272909,-0.010737452,0.49740328,-3.456000364,-0.07690103,-1.248005319,-3.129792409,-2.462828712,-1.254689972
AT1G06180,2.375175358,2.487907689,3.133657475,3.07552975,1.285472982,0.913545121,2.40549095,2.146247558,2.197012407,2.626390774,2.434269307,1.352384122,1.490341353,1.670440364,1.619393805,3.92193314,3.604108158,2.658885277,2.362060688,2.460003428,2.087702226
AT1G06850,3.52653995,3.496175305,2.617533851,2.965206335,0.889544306,1.650510715,2.525785184,2.665275789,2.56288385,2.572951515,3.187287306,1.229527374,1.73650194,2.708710381,2.959404258,1.829401855,2.113782532,1.527288394,1.514063781,1.882946125,2.277805109
AT1G06910,1.894846399,1.991383153,1.693084884,2.030582344,1.396504294,2.135937543,1.78881959,1.775153406,2.391515431,2.001535546,2.015864956,2.245468918,2.172601055,1.84552707,1.20001737,2.27192009,2.219715976,1.845970829,2.424796443,2.491367598,1.868692444
AT1G07520,2.653028479,2.542150734,2.792620557,3.226647483,0.34205651,1.203051738,0.203857089,2.366513678,2.255311048,2.660947996,2.74200352,2.771097279,2.778322116,3.007798499,2.94909925,2.15870948,2.294354777,2.745041921,3.136994132,1.624634129,2.004044297
AT1G07530,4.46488948,4.54081922,4.829919099,4.773925508,5.521200042,4.638437883,4.800792231,4.646997055,4.458186471,4.606582293,4.500810163,5.436378944,5.360992805,4.508492083,4.656285182,4.802958186,4.72371756,5.530324583,5.78608697,4.926623377,4.990523157
AT1G07640,4.824123075,4.660900298,4.895358663,4.800943058,3.821525882,3.674357457,3.496638838,4.382385071,4.348643624,4.696780102,4.557486323,2.479141264,2.041356522,4.105696142,4.385310772,4.764781007,4.536528126,2.598449423,2.598128046,2.060733244,2.567311726
AT1G07900,-1.275078603,-0.495604188,0.722231229,1.835326052,1.033934215,0.913545121,0.203857089,1.274255171,1.088952661,1.237348483,0.559800189,3.686041509,3.376959554,1.471131556,1.539223456,-0.793035352,1.127457468,2.852454863,2.847487515,1.834851837,2.856818344
AT1G07980,3.658284204,3.913272327,3.991264376,3.578550637,4.455397983,4.118659551,3.990453451,2.930039008,3.290586523,3.208435791,3.40882429,3.032295027,2.722288081,3.067919492,3.304758202,3.364178598,3.120636203,2.915741108,2.936296782,2.871072025,3.077506459
